commit	compression_score	compression_ratio	val_bpb_delta	compressed_bpb	status	description
db15bd6	2.112790	3.0968	0.098398	1.191557	discard	mixed_K8_V2 [medium bpt=496.00 α20=1.128806 α50=-1.823147]
db15bd6	4.035659	5.0526	0.101697	1.194856	discard	mixed_K4_V2 [medium bpt=304.00 α20=3.018686 α50=-0.032233]
PENDING	0.000000	0.0000	0.000000	0.000000	marker	===== HEAD_DIM=64 sweep at medium (D=6 A=64) =====
0209f92	3.730160	3.7647	0.003455	1.101875	keep	int4_sym_per_tok_per_head [hd64 bpt=408.00 α20=3.695613 α50=3.591975]
0209f92	3.179305	3.2000	0.002069	1.100489	discard	int4_group16 [hd64 bpt=480.00 α20=3.158610 α50=3.096526]
0209f92	2.651641	2.6667	0.001503	1.099922	discard	int4_group8 [hd64 bpt=576.00 α20=2.636616 α50=2.591539]
0209f92	3.529091	3.5556	0.002646	1.101066	discard	int4_group32 [hd64 bpt=432.00 α20=3.502626 α50=3.423231]
0209f92	1.939154	1.9394	0.000024	1.098444	discard	int8_sym_per_tok_per_head [hd64 bpt=792.00 α20=1.938915 α50=1.938196]
0209f92	3.917127	7.1111	0.319398	1.417818	discard	int2_sym_per_tok_per_head [hd64 bpt=216.00 α20=0.723142 α50=-8.858811]
PENDING	0.000000	0.0000	0.000000	0.000000	marker	===== HEAD_DIM=128 sweep at medium (D=6 A=64) =====
5200e5d	3.840911	3.8788	0.003788	1.099647	keep	int4_sym_per_tok_per_head [hd128 bpt=396.00 α20=3.803033 α50=3.689401]
a985069	3.181177	3.2000	0.001882	1.097741	discard	int4_group16 [hd128 bpt=480.00 α20=3.162353 α50=3.105883]
a985069	3.530845	3.5556	0.002471	1.098330	discard	int4_group32 [hd128 bpt=432.00 α20=3.506135 α50=3.432003]
a985069	3.735003	3.7647	0.002970	1.098829	discard	int4_group64 [hd128 bpt=408.00 α20=3.705300 α50=3.616192]
a985069	1.968951	1.9692	0.000028	1.095887	discard	int8_sym_per_tok_per_head [hd128 bpt=780.00 α20=1.968672 α50=1.967834]
a985069	3.133221	7.5294	0.439619	1.535478	discard	int2_sym_per_tok_per_head [hd128 bpt=204.00 α20=-1.262970 α50=-14.451543]
PENDING	0.000000	0.0000	0.000000	0.000000	marker	===== substrate change: medium (DEPTH=6, ASPECT_RATIO=64, HEAD_DIM=96) =====
5b5dd52	1.959006	1.9592	0.000018	1.093177	discard	int8_sym_per_tok_per_head [medium bpt=784.00 α20=1.958828 α50=1.958295]
9627378	3.804338	3.8400	0.003566	1.096725	discard	int4_sym_per_tok_per_head [medium bpt=400.00 α20=3.768676 α50=3.661690]
98148a0	2.902247	7.3846	0.448237	1.541396	discard	int2_sym_per_tok_per_head [medium bpt=208.00 α20=-1.580122 α50=-15.027229]
0d911ae	3.181845	3.2000	0.001815	1.094974	discard	int4_group16 [medium bpt=480.00 α20=3.163690 α50=3.109226]
0d911ae	3.669481	3.6923	0.002283	1.095442	discard	int4_asym_per_tok_per_head [medium bpt=416.00 α20=3.646655 α50=3.578177]
0d911ae	3.491913	3.5270	0.003507	1.096666	discard	hybrid_recent64_int4_old [medium bpt=435.50 α20=3.456846 α50=3.351645]
0d911ae	2.582107	2.5946	0.001249	1.094408	discard	mixed_K8_V4 [medium bpt=592.00 α20=2.569620 α50=2.532158]
